"productId","category","description","discount","images","imageUrl","name","price","section","specifications"
"HL-PROJ-BILED-2.5-002","Headlight Projectors","Enhanced version with upgraded CREE XHP50.2 LED chips and active cooling system. Optimized reflector increases foreground spread by 15%.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/2.5+headlight+bi+led+projector.jpg","2.5-Inch Bi-LED Projector (High-Output Version)","2800000","accessory","""Projector Diameter: 2.5 Inches | LED Power: 40W Low / 55W High | Luminous Flux: 3800 Lumens (Low) / 6000 Lumens (High) | Color: 5500K | Cooling: Copper Heat Pipe + Fan | Lifespan: >50,000 Hours"""
"PROD-1779571893199-11","Exterior Accessories","High-quality automotive LED lighting solution. 168 LED License Plate Light designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0031.jpeg","168 LED License Plate Light","700","accessory","""Bulb Type: 168 | Power: 3W | Lumens: 400LM | Color: 6000K White | Lifespan: 50,000 Hours"""
"PROD-1779572561500-45","Interior Lighting","""Premium T10 LED Interior Light - Ice Blue. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0327.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0328.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0327.jpeg","T10 LED Interior Light - Ice Blue","1000","best-seller","""Power: 5W | Lumens: 600LM | Lifespan: 50,000 Hours | Color: Ice Blue"""
"PROD-1779571943886-2","Headlights","High-quality automotive LED lighting solution. HB3 High Beam LED Bulb designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0006.jpeg","HB3 High Beam LED Bulb","4000","carousel","""Bulb Type: HB3 | Power: 40W | Lumens: 8000LM | Color: 6000K | Lifespan: 50,000 Hours"""
"PROD-1779571972439-17","Accessories","High-quality automotive LED lighting solution. LED Decoder/Resistor Kit designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0051.jpeg","LED Decoder/Resistor Kit","800","accessory","Type: 50W 6Ω Load Resistor | Quantity: 2 Pieces | Purpose: Error Code Elimination | Heat Resistant"
"PROD-1779572355715-0","Headlights","""Premium H11 LED Headlight Bulb - 6000K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0002.jpg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0003.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0002.jpg","H11 LED Headlight Bulb - 6000K","4500","best-seller","""Power: 50W | Lumens: 10000LM | Lifespan: 50,000 Hours | Color: 6000K"""
"PROD-1779571974582-18","Headlight Projectors","High-quality automotive LED lighting solution. Bi-LED Projector Retrofit Kit designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0052.jpeg","Bi-LED Projector Retrofit Kit","15000","carousel","Size: 3.0 Inch | Power: 60W | Lumens: 12000LM | Color: 6000K | Beam: Bi-Function Low/High"
"PROD-1779572504323-34","Taillights","""Premium 921 LED Reverse Light - 6500K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0246.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0248.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0246.jpeg","921 LED Reverse Light - 6500K","1400","accessory","""Power: 12W | Lumens: 1500LM | Lifespan: 50,000 Hours | Color: 6500K"""
"PROD-1779572606846-56","Headlight Projectors","""Premium Bi-LED Projector - 3.0 Inch. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0399.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0400.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0401.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0399.jpeg","Bi-LED Projector - 3.0 Inch","15000","new-arrival","Power: 60W | Lumens: 12000LM | Beam: Bi-Function | Color: 3.0 Inch"
"PROD-1779572401469-10","Headlights","""Premium HB3 LED Headlight Bulb - 6500K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0068.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0069.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0068.jpeg","HB3 LED Headlight Bulb - 6500K","4300","best-seller","""Power: 40W | Lumens: 8000LM | Lifespan: 50,000 Hours | Color: 6500K"""
